epoch,acc,loss,val_acc,val_loss
0,0.6017857142857143,0.7233320619378771,0.6857142857142857,0.598126168478103
1,0.7029761904761904,0.5739660504318419,0.7833333333333333,0.522592039903005
2,0.7452380952380953,0.5339941424982888,0.8071428571428572,0.49136245193935574
3,0.7958333333333333,0.4849316562925066,0.8166666666666667,0.46289206118810744
4,0.8071428571428572,0.43185575164499734,0.8404761904761905,0.417869169939132
5,0.8398809523809524,0.39493300063269476,0.8642857142857143,0.3578175365924835
6,0.8678571428571429,0.3492123407976968,0.8428571428571429,0.35643427769343056
7,0.8803571428571428,0.3172700605222157,0.919047619047619,0.2744758605957031
8,0.9077380952380952,0.27536542827174776,0.9095238095238095,0.2589161566325596
9,0.9023809523809524,0.26467738038017635,0.9,0.26742579965364366
10,0.9327380952380953,0.21168998770770572,0.9285714285714286,0.20533246908869063
11,0.9410714285714286,0.20143524578639438,0.9428571428571428,0.1790615206673032
12,0.9476190476190476,0.17200491300651005,0.95,0.15885527417773293
13,0.955952380952381,0.1574097902469692,0.95,0.1455782644805454
14,0.9494047619047619,0.15157740988901683,0.9476190476190476,0.1462740630621002
15,0.9595238095238096,0.14091009479903038,0.9619047619047619,0.12335965498572304
16,0.9708333333333333,0.11720690860279968,0.9666666666666667,0.114869291583697
17,0.968452380952381,0.11276578716933727,0.969047619047619,0.0997997339282717
18,0.969047619047619,0.10489440613559314,0.969047619047619,0.09594620530094419
19,0.9755952380952381,0.09778023140416259,0.9738095238095238,0.09513680658170155
20,0.9761904761904762,0.0963490734675101,0.969047619047619,0.09609360251398313
21,0.969047619047619,0.09733109628515584,0.9833333333333333,0.07075132791485106
22,0.9755952380952381,0.08509304518146174,0.9833333333333333,0.0683588465764409
23,0.9827380952380952,0.0652291830096926,0.9571428571428572,0.10269423634523438
24,0.975,0.07367440765457493,0.9880952380952381,0.06063137313439732
25,0.9797619047619047,0.06888292697480038,0.9714285714285714,0.07961591308315595
26,0.9833333333333333,0.061063462123274806,0.9833333333333333,0.055891237195049015
27,0.9857142857142858,0.05671467725631027,0.9761904761904762,0.06909732405273687
28,0.9833333333333333,0.05606649788540034,0.9904761904761905,0.04192771216233571
29,0.9827380952380952,0.056248906081808464,0.9785714285714285,0.05929794417960303
30,0.9839285714285714,0.054056664028515417,0.9857142857142858,0.04785356726497412
31,0.9851190476190477,0.04775026156345294,0.9880952380952381,0.04133883144351698
32,0.9839285714285714,0.05194357057501163,0.9833333333333333,0.054784321164091425
33,0.986904761904762,0.042075872277131394,0.9928571428571429,0.037664790788576714
34,0.9886904761904762,0.03829151286211397,0.9904761904761905,0.03973802732569831
35,0.9880952380952381,0.03940569195408551,0.9904761904761905,0.03742063474797067
36,0.9892857142857143,0.0429408852820329,0.9928571428571429,0.03650035024842336
37,0.9910714285714286,0.0360992329527757,0.9904761904761905,0.03152714805411441
38,0.9898809523809524,0.03580325332337192,0.9928571428571429,0.03542652526160791
39,0.9904761904761905,0.031061079828733844,0.9928571428571429,0.02606512207005705
40,0.9904761904761905,0.03582076124203879,0.9928571428571429,0.03283208872945536
41,0.9916666666666667,0.03238540424056174,0.9928571428571429,0.02471236926725223
42,0.993452380952381,0.02502806349213989,0.9928571428571429,0.033080828526899926
43,0.9916666666666667,0.02911694064470274,0.9904761904761905,0.03973258232609147
44,0.9922619047619048,0.031944546861840145,0.9952380952380953,0.021401307268422983
45,0.9940476190476191,0.02929280695416743,0.9928571428571429,0.03296277635797326
46,0.9940476190476191,0.025408614366980536,0.9904761904761905,0.022055201327783013
47,0.9916666666666667,0.028469261386808716,0.9928571428571429,0.02254493851214647
48,0.9940476190476191,0.018631526292301713,0.9928571428571429,0.021247012875530692
49,0.993452380952381,0.023529782089116495,0.9928571428571429,0.02488198341646542
50,0.9904761904761905,0.026703719886219394,0.9952380952380953,0.018494615586297142
51,0.9928571428571429,0.022196480525391443,0.9928571428571429,0.017642443392070987
52,0.9964285714285714,0.016231107945731352,0.9952380952380953,0.024064332038341532
53,0.9976190476190476,0.016728733470552558,0.9952380952380953,0.017897657822773215
54,0.9976190476190476,0.02075807318435095,0.9928571428571429,0.01875724498559499
55,0.9976190476190476,0.018669562655988903,0.9928571428571429,0.018909807549789548
56,0.9964285714285714,0.01743923322009366,0.9952380952380953,0.020008973185239094
0,0.56934524,0.9067025370541073,0.7333333492279053,0.5825494170188904
1,0.7125,0.5778462358883449,0.788095235824585,0.48450112399600803
2,0.7595238,0.5048311966515723,0.7428571581840515,0.5020931655452365
3,0.8244048,0.4195323934157689,0.8559523820877075,0.3409282883008321
4,0.8532738,0.36298266791162037,0.8928571343421936,0.27040989455722625
5,0.88928574,0.2950391995764914,0.9297618865966797,0.22274387365295772
6,0.92291665,0.24053998710144134,0.9214285612106323,0.1994339415005275
7,0.9252976,0.21499215383969603,0.9595237970352173,0.17662789197195145
8,0.94226193,0.175533451068969,0.9630952477455139,0.15034067708821525
9,0.94107145,0.17116670055048808,0.9654762148857117,0.11644177333939643
10,0.9550595,0.14365777443384842,0.9797618985176086,0.08828555098956539
11,0.96339285,0.12658398587345368,0.9833333492279053,0.08400346636772156
12,0.97291666,0.10138702932745218,0.9630952477455139,0.09074165358962048
13,0.97351193,0.09247000925242901,0.9869047403335571,0.05921160286026342
14,0.9696429,0.09384555401990101,0.9892857074737549,0.051302629097231794
15,0.97559524,0.07856410220265389,0.9928571581840515,0.039368234636882944
16,0.9815476,0.06646108270534093,0.9892857074737549,0.0443455840771397
17,0.98333335,0.06268217381134275,0.9928571581840515,0.031318920318569456
18,0.9809524,0.06336575072325235,0.9940476417541504,0.031985618245033993
19,0.98333335,0.053429663883123014,0.9964285492897034,0.024889719814416907
20,0.98363096,0.054978921205648,0.9940476417541504,0.030631743125351413
21,0.98482144,0.052179035959055736,0.9952380657196045,0.026885776186273212
22,0.9806548,0.054698742746508544,0.9952380657196045,0.022235496244615034
23,0.98839283,0.04117883727331424,0.9964285492897034,0.018343591330839053
24,0.9892857,0.04384744106348427,0.9976190328598022,0.01935471042635895
25,0.9916667,0.03358330229308368,0.9976190328598022,0.022367189875582144
26,0.989881,0.03623051307707404,0.9988095164299011,0.01130732291189599
27,0.9907738,0.03462530955938356,0.9845238327980042,0.04531927443153801
28,0.9880952,0.037252284677898775,0.9976190328598022,0.019965433865962993
29,0.9919643,0.03146642438202564,0.9940476417541504,0.018414941099694087
30,0.99345237,0.025809570598288527,0.9976190328598022,0.009707019968135725
31,0.99404764,0.025800501153294353,0.9988095164299011,0.008900292420626751
32,0.99345237,0.02715977601030664,0.9928571581840515,0.015544012955035127
33,0.99345237,0.024415560517116405,0.9988095164299011,0.006033524272442308
34,0.9889881,0.036006269344804984,1.0,0.007389690420989479
35,0.9901786,0.028593553875717114,0.9988095164299011,0.007232175772410951
